owner,study,year,trt_id,trt_n,trt_var
rosen lab,vxn,2015,6,n.2,russet burbank
rosen lab,vxn,2015,4,n.2,dakota russet
rosen lab,vxn,2015,11,n.4,easton
rosen lab,vxn,2015,2,n.1,easton
rosen lab,vxn,2015,9,n.3,russet burbank
rosen lab,vxn,2015,16,n.x,russet burbank
rosen lab,vxn,2015,3,n.1,russet burbank
rosen lab,vxn,2015,15,n.5,russet burbank
rosen lab,vxn,2015,13,n.5,dakota russet
rosen lab,vxn,2015,12,n.4,russet burbank
rosen lab,vxn,2015,10,n.4,dakota russet
rosen lab,vxn,2015,8,n.3,easton
rosen lab,vxn,2015,1,n.1,dakota russet
rosen lab,vxn,2015,14,n.5,easton
rosen lab,vxn,2014,14,n.5,easton
rosen lab,vxn,2014,10,n.4,dakota russet
rosen lab,vxn,2014,5,n.2,easton
rosen lab,vxn,2014,3,n.1,russet burbank
rosen lab,vxn,2014,11,n.4,easton
rosen lab,vxn,2014,6,n.2,russet burbank
rosen lab,vxn,2014,7,n.3,dakota russet
rosen lab,vxn,2014,8,n.3,easton
rosen lab,vxn,2014,2,n.1,easton
rosen lab,vxn,2014,1,n.1,dakota russet
rosen lab,vxn,2014,4,n.2,dakota russet
rosen lab,vxn,2014,13,n.5,dakota russet
rosen lab,vxn,2014,15,n.5,russet burbank
rosen lab,vxn,2014,9,n.3,russet burbank
rosen lab,vxn,2014,12,n.4,russet burbank
rosen lab,blcmr,1992,1,n.1,russet burbank
rosen lab,blcmr,1992,3,n.2,russet burbank
rosen lab,blcmr,1992,4,n.3,russet burbank
rosen lab,blcmr,1992,5,n.4,russet burbank
rosen lab,blcmr,1992,6,n.5,russet burbank
rosen lab,blcmr,1992,7,n.6,russet burbank
rosen lab,blcmr,1992,8,n.7,russet burbank
rosen lab,blcmr,1992,9,n.8,russet burbank
rosen lab,blcmr,1992,10,n.9,russet burbank
rosen lab,blcmr,1992,2,n.10,russet burbank
rosen lab,blcmr,1991,1,n.1,russet burbank
rosen lab,blcmr,1991,3,n.2,russet burbank
rosen lab,blcmr,1991,4,n.3,russet burbank
rosen lab,blcmr,1991,5,n.4,russet burbank
rosen lab,blcmr,1991,6,n.5,russet burbank
rosen lab,blcmr,1991,7,n.6,russet burbank
rosen lab,blcmr,1991,8,n.7,russet burbank
rosen lab,blcmr,1991,9,n.8,russet burbank
rosen lab,blcmr,1991,10,n.9,russet burbank
rosen lab,blcmr,1991,2,n.10,russet burbank
