index,group,owner,study,location,variety,date
84,5,Bohman,vxn,Minnesota,Easton,2015-07-07
85,5,Bohman,vxn,Minnesota,Easton,2015-07-21
86,5,Bohman,vxn,Minnesota,Easton,2015-08-04
87,5,Bohman,vxn,Minnesota,Easton,2015-08-17
88,5,Bohman,vxn,Minnesota,Easton,2015-09-01
89,5,Bohman,vxn,Minnesota,Easton,2015-09-16
90,1,Bohman,vxn,Minnesota,Russet Burbank,2014-06-30
91,1,Bohman,vxn,Minnesota,Russet Burbank,2014-07-15
92,1,Bohman,vxn,Minnesota,Russet Burbank,2014-07-24
93,1,Bohman,vxn,Minnesota,Russet Burbank,2014-08-11
94,1,Bohman,vxn,Minnesota,Russet Burbank,2014-08-26
95,1,Bohman,vxn,Minnesota,Russet Burbank,2014-09-08
96,1,Bohman,vxn,Minnesota,Russet Burbank,2014-09-15
97,1,Bohman,vxn,Minnesota,Russet Burbank,2015-06-23
98,1,Bohman,vxn,Minnesota,Russet Burbank,2015-07-07
99,1,Bohman,vxn,Minnesota,Russet Burbank,2015-07-21
100,1,Bohman,vxn,Minnesota,Russet Burbank,2015-08-04
101,1,Bohman,vxn,Minnesota,Russet Burbank,2015-08-17
102,1,Bohman,vxn,Minnesota,Russet Burbank,2015-09-01
103,1,Bohman,vxn,Minnesota,Russet Burbank,2015-09-16
104,6,Giletto,Drummond,Canada,Russet Burbank,1900-02-09
105,6,Giletto,Drummond,Canada,Russet Burbank,1900-02-16
106,6,Giletto,Drummond,Canada,Russet Burbank,1900-02-23
107,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-05
108,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-11
109,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-18
110,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-25
111,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-30
112,6,Giletto,Drummond,Canada,Russet Burbank,1900-04-06
113,7,Giletto,Drummond,Canada,Shepody,1900-02-02
114,7,Giletto,Drummond,Canada,Shepody,1900-02-09
115,7,Giletto,Drummond,Canada,Shepody,1900-02-16
116,7,Giletto,Drummond,Canada,Shepody,1900-02-23
117,7,Giletto,Drummond,Canada,Shepody,1900-03-05
118,7,Giletto,Drummond,Canada,Shepody,1900-03-11
119,7,Giletto,Drummond,Canada,Shepody,1900-03-18
120,7,Giletto,Drummond,Canada,Shepody,1900-03-25
121,7,Giletto,Drummond,Canada,Shepody,1900-03-30
122,7,Giletto,Drummond,Canada,Shepody,1900-04-06
123,8,Giletto,Giletto,Argentina,Bannock Russet,2003-02-15
124,8,Giletto,Giletto,Argentina,Bannock Russet,2003-03-02
125,8,Giletto,Giletto,Argentina,Bannock Russet,2003-03-17
126,8,Giletto,Giletto,Argentina,Bannock Russet,2003-04-01
127,8,Giletto,Giletto,Argentina,Bannock Russet,2003-04-21
128,8,Giletto,Giletto,Argentina,Bannock Russet,2004-02-25
129,8,Giletto,Giletto,Argentina,Bannock Russet,2004-03-02
130,8,Giletto,Giletto,Argentina,Bannock Russet,2004-03-24
131,8,Giletto,Giletto,Argentina,Bannock Russet,2004-04-20
132,8,Giletto,Giletto,Argentina,Bannock Russet,2005-02-17
133,8,Giletto,Giletto,Argentina,Bannock Russet,2005-03-04
134,8,Giletto,Giletto,Argentina,Bannock Russet,2005-03-17
135,8,Giletto,Giletto,Argentina,Bannock Russet,2005-04-02
136,8,Giletto,Giletto,Argentina,Bannock Russet,2005-04-16
137,9,Giletto,Giletto,Argentina,Gem Russet,2003-02-15
138,9,Giletto,Giletto,Argentina,Gem Russet,2003-03-02
139,9,Giletto,Giletto,Argentina,Gem Russet,2003-03-17
140,9,Giletto,Giletto,Argentina,Gem Russet,2003-04-01
141,9,Giletto,Giletto,Argentina,Gem Russet,2003-04-21
142,9,Giletto,Giletto,Argentina,Gem Russet,2004-02-25
143,9,Giletto,Giletto,Argentina,Gem Russet,2004-03-02
144,9,Giletto,Giletto,Argentina,Gem Russet,2004-03-24
145,9,Giletto,Giletto,Argentina,Gem Russet,2004-04-20
146,9,Giletto,Giletto,Argentina,Gem Russet,2005-02-17
147,9,Giletto,Giletto,Argentina,Gem Russet,2005-03-04
148,9,Giletto,Giletto,Argentina,Gem Russet,2005-03-17
149,9,Giletto,Giletto,Argentina,Gem Russet,2005-04-02
150,9,Giletto,Giletto,Argentina,Gem Russet,2005-04-16
151,9,Giletto,Giletto,Argentina,Gem Russet,2006-02-15
152,9,Giletto,Giletto,Argentina,Gem Russet,2006-02-28
153,9,Giletto,Giletto,Argentina,Gem Russet,2006-03-16
154,9,Giletto,Giletto,Argentina,Gem Russet,2006-04-06
155,9,Giletto,Giletto,Argentina,Gem Russet,2006-04-27
156,10,Giletto,Giletto,Argentina,Innovator,2003-02-15
157,10,Giletto,Giletto,Argentina,Innovator,2003-03-02
158,10,Giletto,Giletto,Argentina,Innovator,2003-03-17
159,10,Giletto,Giletto,Argentina,Innovator,2003-04-01
160,10,Giletto,Giletto,Argentina,Innovator,2003-04-21
161,10,Giletto,Giletto,Argentina,Innovator,2004-02-25
162,10,Giletto,Giletto,Argentina,Innovator,2004-03-02
163,10,Giletto,Giletto,Argentina,Innovator,2004-03-24
164,10,Giletto,Giletto,Argentina,Innovator,2004-04-20
165,10,Giletto,Giletto,Argentina,Innovator,2005-02-17
166,10,Giletto,Giletto,Argentina,Innovator,2005-03-04
167,10,Giletto,Giletto,Argentina,Innovator,2005-03-17
168,10,Giletto,Giletto,Argentina,Innovator,2005-04-02
169,10,Giletto,Giletto,Argentina,Innovator,2005-04-16
170,10,Giletto,Giletto,Argentina,Innovator,2006-02-15
171,10,Giletto,Giletto,Argentina,Innovator,2006-02-28
172,10,Giletto,Giletto,Argentina,Innovator,2006-03-16
173,10,Giletto,Giletto,Argentina,Innovator,2006-04-06
174,10,Giletto,Giletto,Argentina,Innovator,2006-04-27
175,11,Giletto,Giletto,Argentina,Markies Russet,2004-02-25
176,11,Giletto,Giletto,Argentina,Markies Russet,2004-03-02
177,11,Giletto,Giletto,Argentina,Markies Russet,2004-03-24
178,11,Giletto,Giletto,Argentina,Markies Russet,2004-04-20
179,11,Giletto,Giletto,Argentina,Markies Russet,2005-02-17
180,11,Giletto,Giletto,Argentina,Markies Russet,2005-03-04
181,11,Giletto,Giletto,Argentina,Markies Russet,2005-03-17
182,11,Giletto,Giletto,Argentina,Markies Russet,2005-04-02
183,11,Giletto,Giletto,Argentina,Markies Russet,2005-04-16
184,12,Giletto,Giletto,Argentina,Umatilla Russet,2004-02-25
185,12,Giletto,Giletto,Argentina,Umatilla Russet,2004-03-02
186,12,Giletto,Giletto,Argentina,Umatilla Russet,2004-03-24
187,12,Giletto,Giletto,Argentina,Umatilla Russet,2004-04-20
188,12,Giletto,Giletto,Argentina,Umatilla Russet,2005-02-17
189,12,Giletto,Giletto,Argentina,Umatilla Russet,2005-03-04
190,12,Giletto,Giletto,Argentina,Umatilla Russet,2005-03-17
191,12,Giletto,Giletto,Argentina,Umatilla Russet,2005-04-02
192,12,Giletto,Giletto,Argentina,Umatilla Russet,2005-04-16
193,12,Giletto,Giletto,Argentina,Umatilla Russet,2006-02-15
194,12,Giletto,Giletto,Argentina,Umatilla Russet,2006-02-28
195,12,Giletto,Giletto,Argentina,Umatilla Russet,2006-03-16
196,12,Giletto,Giletto,Argentina,Umatilla Russet,2006-04-06
197,12,Giletto,Giletto,Argentina,Umatilla Russet,2006-04-27
198,6,Giletto,Hartland,Canada,Russet Burbank,1900-02-10
199,6,Giletto,Hartland,Canada,Russet Burbank,1900-02-19
200,6,Giletto,Hartland,Canada,Russet Burbank,1900-02-24
201,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-03
202,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-11
203,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-16
204,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-23
205,6,Giletto,Hartland,Canada,Russet Burbank,1900-04-01
206,6,Giletto,Hartland,Canada,Russet Burbank,1900-04-09
207,7,Giletto,Hartland,Canada,Shepody,1900-02-10
208,7,Giletto,Hartland,Canada,Shepody,1900-02-19
209,7,Giletto,Hartland,Canada,Shepody,1900-02-24
210,7,Giletto,Hartland,Canada,Shepody,1900-03-03
211,7,Giletto,Hartland,Canada,Shepody,1900-03-11
212,7,Giletto,Hartland,Canada,Shepody,1900-03-16
213,7,Giletto,Hartland,Canada,Shepody,1900-03-23
214,7,Giletto,Hartland,Canada,Shepody,1900-04-01
215,7,Giletto,Hartland,Canada,Shepody,1900-04-09
216,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-02-14
217,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-02-20
218,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-02-27
219,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-06
220,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-16
221,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-23
222,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-29
223,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-04-05
224,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-04-18
225,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-04-25
226,7,Giletto,Jacksonville,Canada,Shepody,1900-02-14
227,7,Giletto,Jacksonville,Canada,Shepody,1900-02-20
228,7,Giletto,Jacksonville,Canada,Shepody,1900-02-27
229,7,Giletto,Jacksonville,Canada,Shepody,1900-03-06
230,7,Giletto,Jacksonville,Canada,Shepody,1900-03-16
231,7,Giletto,Jacksonville,Canada,Shepody,1900-03-23
232,7,Giletto,Jacksonville,Canada,Shepody,1900-03-29
233,7,Giletto,Jacksonville,Canada,Shepody,1900-04-05
234,7,Giletto,Jacksonville,Canada,Shepody,1900-04-18
235,7,Giletto,Jacksonville,Canada,Shepody,1900-04-25
236,6,Giletto,London,Canada,Russet Burbank,1900-02-11
237,6,Giletto,London,Canada,Russet Burbank,1900-02-19
238,6,Giletto,London,Canada,Russet Burbank,1900-02-26
239,6,Giletto,London,Canada,Russet Burbank,1900-03-01
240,6,Giletto,London,Canada,Russet Burbank,1900-03-10
241,6,Giletto,London,Canada,Russet Burbank,1900-03-15
242,6,Giletto,London,Canada,Russet Burbank,1900-03-22
243,6,Giletto,London,Canada,Russet Burbank,1900-03-23
244,6,Giletto,London,Canada,Russet Burbank,1900-04-08
245,6,Giletto,London,Canada,Russet Burbank,1900-04-15
246,7,Giletto,London,Canada,Shepody,1900-02-11
247,7,Giletto,London,Canada,Shepody,1900-02-19
248,7,Giletto,London,Canada,Shepody,1900-02-26
249,7,Giletto,London,Canada,Shepody,1900-03-01
250,7,Giletto,London,Canada,Shepody,1900-03-10
251,7,Giletto,London,Canada,Shepody,1900-03-15
252,7,Giletto,London,Canada,Shepody,1900-03-22
253,7,Giletto,London,Canada,Shepody,1900-04-08
254,7,Giletto,London,Canada,Shepody,1900-04-15
255,7,Giletto,London,Canada,Shepody,1900-04-21
